file_path,energy
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABEFUL\ABEFUL_w_H2O_1_relaxed.cif,-0.49699903999991574
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABESUX\ABESUX_w_H2O_1_relaxed.cif,1.807776578000039
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABEXEM\ABEXEM_w_H2O_1_relaxed.cif,-0.6293549899999107
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABEXIQ\ABEXIQ_w_H2O_1_relaxed.cif,0.394688872000188
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABEXOW\ABEXOW_w_H2O_3_relaxed.cif,-0.5674577799996428
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABEYAJ\ABEYAJ_w_H2O_1_relaxed.cif,-0.5796086783332157
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABEYIR\ABEYIR_w_H2O_1_relaxed.cif,-0.4976270300000124
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABIXOZ\ABIXOZ_w_H2O_2_relaxed.cif,2.2839695566667237
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABULOB\ABULOB_w_H2O_1_relaxed.cif,0.08428075999993322
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ABUWOJ\ABUWOJ_w_H2O_1_relaxed.cif,-0.4918754879999142
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACAJIY\ACAJIY_w_H2O_1_relaxed.cif,-0.3016801060003672
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACAJIZ\ACAJIZ_w_H2O_1_relaxed.cif,-0.3694647625001153
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACAJOF\ACAJOF_w_H2O_1_relaxed.cif,-0.47408320750014354
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACIBOE\ACIBOE_w_H2O_1_relaxed.cif,-0.345155949999878
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACODON\ACODON_w_H2O_1_relaxed.cif,-0.2385061424998866
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACOGAB\ACOGAB_w_H2O_1_relaxed.cif,-0.46962811599992166
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACOGEF\ACOGEF_w_H2O_1_relaxed.cif,-0.5331784919998881
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACOLIP\ACOLIP_w_H2O_1_relaxed.cif,-0.5108190739999372
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACUBAB\ACUBAB_w_H2O_1_relaxed.cif,-0.4185279424999777
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ACUTOI\ACUTOI_w_H2O_1_relaxed.cif,-0.40220871499985833
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ADABUE\ADABUE_w_H2O_1_relaxed.cif,-0.23059233400008447
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ADAXEK\ADAXEK_w_H2O_1_relaxed.cif,-0.1558390980000013
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ADAXIO\ADAXIO_w_H2O_3_relaxed.cif,-0.1310309600000891
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ADIQEL\ADIQEL_w_H2O_1_relaxed.cif,-0.2561116233333488
C:\Users\GED\PycharmProjects\Aixelo_Project_DataLab_2025\data\odac\pristine_H2O\ADOBAX_charged\ADOBAX_charged_w_H2O_1_relaxed.cif,-0.5048440119998304
